path	responsibility	producer	consumer	maintainability_dry_naming	dependencies_contracts	errors_operations	performance_security_generality	docs_tests	decision	evidence
backend/app/system/settings.py	process configuration SSOT	environment	main and adapters	single current path; obsolete UI/deploy wording removed	matches actual requirements, package structure, and API boundary	startup/config behavior is explicit; failures not silently ignored	no embedded application secret or sample-specific branch	README commands, compile, OpenAPI, and unit contracts inspected	fixed	current file content inspected in R1B audit
backend/pyproject.toml	removed unused dependency manifest	former uv experiment	none; Docker and README use requirements.txt	dependency SSOT restored	eliminates stale extraction drivers and Python 3.13 drift	one install path remains	smaller dependency surface	requirements install path documented	deleted	actual execution path inspection
backend/requirements.txt	runtime dependency SSOT	pip/Docker	backend runtime	single current path; obsolete UI/deploy wording removed	matches actual requirements, package structure, and API boundary	startup/config behavior is explicit; failures not silently ignored	no embedded application secret or sample-specific branch	README commands, compile, OpenAPI, and unit contracts inspected	fixed	current file content inspected in R1B audit
backend/tests/__init__.py	unit or public contract verification	unittest discovery	maintainers and CI	tests mirror runtime responsibility packages	registry, gateway, context, HTTP, and saga contracts fixed	normal and compensation failure paths covered	credential and injection boundaries asserted without network secrets	22 tests discovered and passed	fixed	python -m unittest discover -s tests -t .
backend/tests/contract/__init__.py	unit or public contract verification	unittest discovery	maintainers and CI	tests mirror runtime responsibility packages	registry, gateway, context, HTTP, and saga contracts fixed	normal and compensation failure paths covered	credential and injection boundaries asserted without network secrets	22 tests discovered and passed	fixed	python -m unittest discover -s tests -t .
backend/tests/contract/test_datasource_creation.py	unit or public contract verification	unittest discovery	maintainers and CI	tests mirror runtime responsibility packages	registry, gateway, context, HTTP, and saga contracts fixed	normal and compensation failure paths covered	credential and injection boundaries asserted without network secrets	22 tests discovered and passed	fixed	python -m unittest discover -s tests -t .
backend/tests/contract/test_http_surface.py	unit or public contract verification	unittest discovery	maintainers and CI	tests mirror runtime responsibility packages	registry, gateway, context, HTTP, and saga contracts fixed	normal and compensation failure paths covered	credential and injection boundaries asserted without network secrets	22 tests discovered and passed	fixed	python -m unittest discover -s tests -t .
backend/tests/unit/__init__.py	unit or public contract verification	unittest discovery	maintainers and CI	tests mirror runtime responsibility packages	registry, gateway, context, HTTP, and saga contracts fixed	normal and compensation failure paths covered	credential and injection boundaries asserted without network secrets	22 tests discovered and passed	fixed	python -m unittest discover -s tests -t .
backend/tests/unit/test_datasource_registry.py	unit or public contract verification	unittest discovery	maintainers and CI	tests mirror runtime responsibility packages	registry, gateway, context, HTTP, and saga contracts fixed	normal and compensation failure paths covered	credential and injection boundaries asserted without network secrets	22 tests discovered and passed	fixed	python -m unittest discover -s tests -t .
backend/tests/unit/test_mindsdb_gateway.py	unit or public contract verification	unittest discovery	maintainers and CI	tests mirror runtime responsibility packages	registry, gateway, context, HTTP, and saga contracts fixed	normal and compensation failure paths covered	credential and injection boundaries asserted without network secrets	22 tests discovered and passed	fixed	python -m unittest discover -s tests -t .
backend/tests/unit/test_neo4j_context.py	unit or public contract verification	unittest discovery	maintainers and CI	tests mirror runtime responsibility packages	registry, gateway, context, HTTP, and saga contracts fixed	normal and compensation failure paths covered	credential and injection boundaries asserted without network secrets	22 tests discovered and passed	fixed	python -m unittest discover -s tests -t .
backend/tests/unit/test_read_only_sql.py	unit or public contract verification	unittest discovery	maintainers and CI	tests mirror runtime responsibility packages	registry, gateway, context, HTTP, and saga contracts fixed	normal and compensation failure paths covered	credential and injection boundaries asserted without network secrets	22 tests discovered and passed	fixed	python -m unittest discover -s tests -t .
backend/uv.lock	removed unused dependency manifest	former uv experiment	none; Docker and README use requirements.txt	dependency SSOT restored	eliminates stale extraction drivers and Python 3.13 drift	one install path remains	smaller dependency surface	requirements install path documented	deleted	actual execution path inspection
docker-compose.yml	removed demo, sample data, or internal deployment artifact	former local tutorial/sample workflow	no production runtime consumer	lab-only workflow removed from service root	not imported by backend or central UI	removes misleading alternate startup/deploy path	removes fixed sample credentials and dataset-specific behavior	static consumer search 0; README now documents supported runtime	deleted	goal-approved experiment and internal deploy cleanup
env.example	non-secret environment template	maintainer	operators	single current path; obsolete UI/deploy wording removed	matches actual requirements, package structure, and API boundary	startup/config behavior is explicit; failures not silently ignored	no embedded application secret or sample-specific branch	README commands, compile, OpenAPI, and unit contracts inspected	fixed	current file content inspected in R1B audit
frontend/.gitignore	removed standalone prototype UI	former Vite-only Data Fabric frontend	no production consumer; central robo-data-frontend is the supported UI	duplicate UI/state/API surface removed	no workspace import or runtime route consumed this package	removes a second startup/build path and stale endpoint behavior	removes unused npm supply-chain and credential form copy	repo-wide reference search 0; central UI contract test remains	deleted	vertical frontend removal; tracked history recoverable by Git
frontend/README.md	removed standalone prototype UI	former Vite-only Data Fabric frontend	no production consumer; central robo-data-frontend is the supported UI	duplicate UI/state/API surface removed	no workspace import or runtime route consumed this package	removes a second startup/build path and stale endpoint behavior	removes unused npm supply-chain and credential form copy	repo-wide reference search 0; central UI contract test remains	deleted	vertical frontend removal; tracked history recoverable by Git
frontend/index.html	removed standalone prototype UI	former Vite-only Data Fabric frontend	no production consumer; central robo-data-frontend is the supported UI	duplicate UI/state/API surface removed	no workspace import or runtime route consumed this package	removes a second startup/build path and stale endpoint behavior	removes unused npm supply-chain and credential form copy	repo-wide reference search 0; central UI contract test remains	deleted	vertical frontend removal; tracked history recoverable by Git
frontend/package-lock.json	removed standalone prototype UI	former Vite-only Data Fabric frontend	no production consumer; central robo-data-frontend is the supported UI	duplicate UI/state/API surface removed	no workspace import or runtime route consumed this package	removes a second startup/build path and stale endpoint behavior	removes unused npm supply-chain and credential form copy	repo-wide reference search 0; central UI contract test remains	deleted	vertical frontend removal; tracked history recoverable by Git
frontend/package.json	removed standalone prototype UI	former Vite-only Data Fabric frontend	no production consumer; central robo-data-frontend is the supported UI	duplicate UI/state/API surface removed	no workspace import or runtime route consumed this package	removes a second startup/build path and stale endpoint behavior	removes unused npm supply-chain and credential form copy	repo-wide reference search 0; central UI contract test remains	deleted	vertical frontend removal; tracked history recoverable by Git
frontend/postcss.config.js	removed standalone prototype UI	former Vite-only Data Fabric frontend	no production consumer; central robo-data-frontend is the supported UI	duplicate UI/state/API surface removed	no workspace import or runtime route consumed this package	removes a second startup/build path and stale endpoint behavior	removes unused npm supply-chain and credential form copy	repo-wide reference search 0; central UI contract test remains	deleted	vertical frontend removal; tracked history recoverable by Git
frontend/public/vite.svg	removed standalone prototype UI	former Vite-only Data Fabric frontend	no production consumer; central robo-data-frontend is the supported UI	duplicate UI/state/API surface removed	no workspace import or runtime route consumed this package	removes a second startup/build path and stale endpoint behavior	removes unused npm supply-chain and credential form copy	repo-wide reference search 0; central UI contract test remains	deleted	vertical frontend removal; tracked history recoverable by Git
frontend/src/App.vue	removed standalone prototype UI	former Vite-only Data Fabric frontend	no production consumer; central robo-data-frontend is the supported UI	duplicate UI/state/API surface removed	no workspace import or runtime route consumed this package	removes a second startup/build path and stale endpoint behavior	removes unused npm supply-chain and credential form copy	repo-wide reference search 0; central UI contract test remains	deleted	vertical frontend removal; tracked history recoverable by Git
frontend/src/api/client.ts	removed standalone prototype UI	former Vite-only Data Fabric frontend	no production consumer; central robo-data-frontend is the supported UI	duplicate UI/state/API surface removed	no workspace import or runtime route consumed this package	removes a second startup/build path and stale endpoint behavior	removes unused npm supply-chain and credential form copy	repo-wide reference search 0; central UI contract test remains	deleted	vertical frontend removal; tracked history recoverable by Git
frontend/src/assets/vue.svg	removed standalone prototype UI	former Vite-only Data Fabric frontend	no production consumer; central robo-data-frontend is the supported UI	duplicate UI/state/API surface removed	no workspace import or runtime route consumed this package	removes a second startup/build path and stale endpoint behavior	removes unused npm supply-chain and credential form copy	repo-wide reference search 0; central UI contract test remains	deleted	vertical frontend removal; tracked history recoverable by Git
frontend/src/components/HelloWorld.vue	removed standalone prototype UI	former Vite-only Data Fabric frontend	no production consumer; central robo-data-frontend is the supported UI	duplicate UI/state/API surface removed	no workspace import or runtime route consumed this package	removes a second startup/build path and stale endpoint behavior	removes unused npm supply-chain and credential form copy	repo-wide reference search 0; central UI contract test remains	deleted	vertical frontend removal; tracked history recoverable by Git
frontend/src/main.ts	removed standalone prototype UI	former Vite-only Data Fabric frontend	no production consumer; central robo-data-frontend is the supported UI	duplicate UI/state/API surface removed	no workspace import or runtime route consumed this package	removes a second startup/build path and stale endpoint behavior	removes unused npm supply-chain and credential form copy	repo-wide reference search 0; central UI contract test remains	deleted	vertical frontend removal; tracked history recoverable by Git
frontend/src/router.ts	removed standalone prototype UI	former Vite-only Data Fabric frontend	no production consumer; central robo-data-frontend is the supported UI	duplicate UI/state/API surface removed	no workspace import or runtime route consumed this package	removes a second startup/build path and stale endpoint behavior	removes unused npm supply-chain and credential form copy	repo-wide reference search 0; central UI contract test remains	deleted	vertical frontend removal; tracked history recoverable by Git
frontend/src/stores/datasources.ts	removed standalone prototype UI	former Vite-only Data Fabric frontend	no production consumer; central robo-data-frontend is the supported UI	duplicate UI/state/API surface removed	no workspace import or runtime route consumed this package	removes a second startup/build path and stale endpoint behavior	removes unused npm supply-chain and credential form copy	repo-wide reference search 0; central UI contract test remains	deleted	vertical frontend removal; tracked history recoverable by Git
frontend/src/stores/query.ts	removed standalone prototype UI	former Vite-only Data Fabric frontend	no production consumer; central robo-data-frontend is the supported UI	duplicate UI/state/API surface removed	no workspace import or runtime route consumed this package	removes a second startup/build path and stale endpoint behavior	removes unused npm supply-chain and credential form copy	repo-wide reference search 0; central UI contract test remains	deleted	vertical frontend removal; tracked history recoverable by Git
frontend/src/style.css	removed standalone prototype UI	former Vite-only Data Fabric frontend	no production consumer; central robo-data-frontend is the supported UI	duplicate UI/state/API surface removed	no workspace import or runtime route consumed this package	removes a second startup/build path and stale endpoint behavior	removes unused npm supply-chain and credential form copy	repo-wide reference search 0; central UI contract test remains	deleted	vertical frontend removal; tracked history recoverable by Git
frontend/src/types/index.ts	removed standalone prototype UI	former Vite-only Data Fabric frontend	no production consumer; central robo-data-frontend is the supported UI	duplicate UI/state/API surface removed	no workspace import or runtime route consumed this package	removes a second startup/build path and stale endpoint behavior	removes unused npm supply-chain and credential form copy	repo-wide reference search 0; central UI contract test remains	deleted	vertical frontend removal; tracked history recoverable by Git
frontend/src/views/Dashboard.vue	removed standalone prototype UI	former Vite-only Data Fabric frontend	no production consumer; central robo-data-frontend is the supported UI	duplicate UI/state/API surface removed	no workspace import or runtime route consumed this package	removes a second startup/build path and stale endpoint behavior	removes unused npm supply-chain and credential form copy	repo-wide reference search 0; central UI contract test remains	deleted	vertical frontend removal; tracked history recoverable by Git
frontend/src/views/DataSources.vue	removed standalone prototype UI	former Vite-only Data Fabric frontend	no production consumer; central robo-data-frontend is the supported UI	duplicate UI/state/API surface removed	no workspace import or runtime route consumed this package	removes a second startup/build path and stale endpoint behavior	removes unused npm supply-chain and credential form copy	repo-wide reference search 0; central UI contract test remains	deleted	vertical frontend removal; tracked history recoverable by Git
frontend/src/views/MaterializedTables.vue	removed standalone prototype UI	former Vite-only Data Fabric frontend	no production consumer; central robo-data-frontend is the supported UI	duplicate UI/state/API surface removed	no workspace import or runtime route consumed this package	removes a second startup/build path and stale endpoint behavior	removes unused npm supply-chain and credential form copy	repo-wide reference search 0; central UI contract test remains	deleted	vertical frontend removal; tracked history recoverable by Git
frontend/src/views/MindsDBObjects.vue	removed standalone prototype UI	former Vite-only Data Fabric frontend	no production consumer; central robo-data-frontend is the supported UI	duplicate UI/state/API surface removed	no workspace import or runtime route consumed this package	removes a second startup/build path and stale endpoint behavior	removes unused npm supply-chain and credential form copy	repo-wide reference search 0; central UI contract test remains	deleted	vertical frontend removal; tracked history recoverable by Git
frontend/src/views/QueryEditor.vue	removed standalone prototype UI	former Vite-only Data Fabric frontend	no production consumer; central robo-data-frontend is the supported UI	duplicate UI/state/API surface removed	no workspace import or runtime route consumed this package	removes a second startup/build path and stale endpoint behavior	removes unused npm supply-chain and credential form copy	repo-wide reference search 0; central UI contract test remains	deleted	vertical frontend removal; tracked history recoverable by Git
frontend/tailwind.config.js	removed standalone prototype UI	former Vite-only Data Fabric frontend	no production consumer; central robo-data-frontend is the supported UI	duplicate UI/state/API surface removed	no workspace import or runtime route consumed this package	removes a second startup/build path and stale endpoint behavior	removes unused npm supply-chain and credential form copy	repo-wide reference search 0; central UI contract test remains	deleted	vertical frontend removal; tracked history recoverable by Git
frontend/tsconfig.app.json	removed standalone prototype UI	former Vite-only Data Fabric frontend	no production consumer; central robo-data-frontend is the supported UI	duplicate UI/state/API surface removed	no workspace import or runtime route consumed this package	removes a second startup/build path and stale endpoint behavior	removes unused npm supply-chain and credential form copy	repo-wide reference search 0; central UI contract test remains	deleted	vertical frontend removal; tracked history recoverable by Git
frontend/tsconfig.json	removed standalone prototype UI	former Vite-only Data Fabric frontend	no production consumer; central robo-data-frontend is the supported UI	duplicate UI/state/API surface removed	no workspace import or runtime route consumed this package	removes a second startup/build path and stale endpoint behavior	removes unused npm supply-chain and credential form copy	repo-wide reference search 0; central UI contract test remains	deleted	vertical frontend removal; tracked history recoverable by Git
frontend/tsconfig.node.json	removed standalone prototype UI	former Vite-only Data Fabric frontend	no production consumer; central robo-data-frontend is the supported UI	duplicate UI/state/API surface removed	no workspace import or runtime route consumed this package	removes a second startup/build path and stale endpoint behavior	removes unused npm supply-chain and credential form copy	repo-wide reference search 0; central UI contract test remains	deleted	vertical frontend removal; tracked history recoverable by Git
frontend/vite.config.ts	removed standalone prototype UI	former Vite-only Data Fabric frontend	no production consumer; central robo-data-frontend is the supported UI	duplicate UI/state/API surface removed	no workspace import or runtime route consumed this package	removes a second startup/build path and stale endpoint behavior	removes unused npm supply-chain and credential form copy	repo-wide reference search 0; central UI contract test remains	deleted	vertical frontend removal; tracked history recoverable by Git
house_sales_forecasting.py	removed demo, sample data, or internal deployment artifact	former local tutorial/sample workflow	no production runtime consumer	lab-only workflow removed from service root	not imported by backend or central UI	removes misleading alternate startup/deploy path	removes fixed sample credentials and dataset-specific behavior	static consumer search 0; README now documents supported runtime	deleted	goal-approved experiment and internal deploy cleanup
house_sales_setup.sql	removed demo, sample data, or internal deployment artifact	former local tutorial/sample workflow	no production runtime consumer	lab-only workflow removed from service root	not imported by backend or central UI	removes misleading alternate startup/deploy path	removes fixed sample credentials and dataset-specific behavior	static consumer search 0; README now documents supported runtime	deleted	goal-approved experiment and internal deploy cleanup
init-scripts/01_create_sample_tables.sql	removed demo, sample data, or internal deployment artifact	former local tutorial/sample workflow	no production runtime consumer	lab-only workflow removed from service root	not imported by backend or central UI	removes misleading alternate startup/deploy path	removes fixed sample credentials and dataset-specific behavior	static consumer search 0; README now documents supported runtime	deleted	goal-approved experiment and internal deploy cleanup
quickstart_tutorial.py	removed demo, sample data, or internal deployment artifact	former local tutorial/sample workflow	no production runtime consumer	lab-only workflow removed from service root	not imported by backend or central UI	removes misleading alternate startup/deploy path	removes fixed sample credentials and dataset-specific behavior	static consumer search 0; README now documents supported runtime	deleted	goal-approved experiment and internal deploy cleanup
specs/001-request-neo4j-override/plan.md	historical request-scoped Neo4j override contract	spec 001	neo4j_context and registry tests	historical contract retained without compatibility code	still valid; lifecycle portions superseded by spec 002	request isolation and fallback documented	secret nonlogging remains required	three context tests pass	no-violation	spec status aligned; implementation contract remains live
specs/001-request-neo4j-override/spec.md	historical request-scoped Neo4j override contract	spec 001	neo4j_context and registry tests	historical contract retained without compatibility code	still valid; lifecycle portions superseded by spec 002	request isolation and fallback documented	secret nonlogging remains required	three context tests pass	fixed	spec status aligned; implementation contract remains live
specs/001-request-neo4j-override/tasks.md	historical request-scoped Neo4j override contract	spec 001	neo4j_context and registry tests	historical contract retained without compatibility code	still valid; lifecycle portions superseded by spec 002	request isolation and fallback documented	secret nonlogging remains required	three context tests pass	no-violation	spec status aligned; implementation contract remains live
specs/002-connection-query-boundary/audit-ledger.tsv	R1B SDD and exhaustive audit evidence	Goal requirements and current repository inspection	implementation, reviewer, continuation handoff	target responsibility and completion gates are explicit	producer-to-consumer and owner lifecycle recorded	rollback, compensation, timeout, and partial failure tasks retained	credential, identifier, and cross-owner risks included	pending E2E remains unchecked rather than overstated	fixed	spec 002 SDD and baseline/current union ledger
specs/002-connection-query-boundary/classify_inventory.py	R1B SDD and exhaustive audit evidence	Goal requirements and current repository inspection	implementation, reviewer, continuation handoff	target responsibility and completion gates are explicit	producer-to-consumer and owner lifecycle recorded	rollback, compensation, timeout, and partial failure tasks retained	credential, identifier, and cross-owner risks included	pending E2E remains unchecked rather than overstated	fixed	spec 002 SDD and baseline/current union ledger
specs/002-connection-query-boundary/plan.md	R1B SDD and exhaustive audit evidence	Goal requirements and current repository inspection	implementation, reviewer, continuation handoff	target responsibility and completion gates are explicit	producer-to-consumer and owner lifecycle recorded	rollback, compensation, timeout, and partial failure tasks retained	credential, identifier, and cross-owner risks included	pending E2E remains unchecked rather than overstated	fixed	spec 002 SDD and baseline/current union ledger
specs/002-connection-query-boundary/record_inventory.py	R1B SDD and exhaustive audit evidence	Goal requirements and current repository inspection	implementation, reviewer, continuation handoff	target responsibility and completion gates are explicit	producer-to-consumer and owner lifecycle recorded	rollback, compensation, timeout, and partial failure tasks retained	credential, identifier, and cross-owner risks included	pending E2E remains unchecked rather than overstated	fixed	spec 002 SDD and baseline/current union ledger
