path	owner	responsibility	worktree_state	sha256	dependency_contract	error_security_review	decision	evidence
credentials/allowlist.py	credentials	credential validation and storage boundary	final-existing	91305d7124bdca704d88a8409cae0a53b0e7ee9c4a8040d087c0925fd3721f07	final-tree imports compiled; public boundary regression covered	fail-closed errors, secret redaction, graph-owner/query boundary reviewed	fixed	unittest 31/31; compileall; diff-check; live API/UI and final-tree verification
credentials/network_rewrite.py	credentials	credential validation and storage boundary	final-existing	b0b813aded3a50552f143bdfeeee32659b5887c9c0188c74ababb3769ffa950d	final-tree imports compiled; public boundary regression covered	fail-closed errors, secret redaction, graph-owner/query boundary reviewed	fixed	unittest 31/31; compileall; diff-check; live API/UI and final-tree verification
main.py	main.py	runtime composition/support	final-existing	6f60d60a2081976ad108138184616e781eb03c094d06763c0ff7f9005c1efd76	final-tree imports compiled; public boundary regression covered	fail-closed errors, secret redaction, graph-owner/query boundary reviewed	fixed	unittest 31/31; compileall; diff-check; live API/UI and final-tree verification
mindsdb/__init__.py	mindsdb	MindsDB integration	final-existing	55a7e7d3d66f52915e8936eded8610c8276c8351da595fa3903c8536ad1ae307	final-tree imports compiled; public boundary regression covered	fail-closed errors, secret redaction, graph-owner/query boundary reviewed	fixed	unittest 31/31; compileall; diff-check; live API/UI and final-tree verification
mindsdb/admin.py	mindsdb	MindsDB integration	final-existing	10d06d1820368cf8995fd8c8a39375cacde69cc8b2f3d8a9f26a844c4563ef0c	final-tree imports compiled; public boundary regression covered	fail-closed errors, secret redaction, graph-owner/query boundary reviewed	fixed	unittest 31/31; compileall; diff-check; live API/UI and final-tree verification
mindsdb/quoting.py	mindsdb	MindsDB integration	final-existing	d75f9f7791461b6b203724cceeceef2354522339802ac72a7b01826738d71ba4	final-tree imports compiled; public boundary regression covered	fail-closed errors, secret redaction, graph-owner/query boundary reviewed	fixed	unittest 31/31; compileall; diff-check; live API/UI and final-tree verification
mindsdb/tables.py	mindsdb	MindsDB integration	final-existing	1d86dd65eeba7daa5e08f0e512af7da803ecd95f1365951bae4433a9b397082a	final-tree imports compiled; public boundary regression covered	fail-closed errors, secret redaction, graph-owner/query boundary reviewed	fixed	unittest 31/31; compileall; diff-check; live API/UI and final-tree verification
mindsdb/transport.py	mindsdb	MindsDB integration	final-existing	7a8ce7af38c02829020211321e9d1af2fe3877fad0fa7569a3f463967ee20c1b	final-tree imports compiled; public boundary regression covered	fail-closed errors, secret redaction, graph-owner/query boundary reviewed	fixed	unittest 31/31; compileall; diff-check; live API/UI and final-tree verification
observability.py	observability.py	operational logging	final-existing	70f3edd7f22aba6e3e8611f97c5778873295c3a3aabebd9d6a1c12ca7e337348	final-tree imports compiled; public boundary regression covered	fail-closed errors, secret redaction, graph-owner/query boundary reviewed	fixed	unittest 31/31; compileall; diff-check; live API/UI and final-tree verification
readonly_query/__init__.py	readonly_query	read-only query policy and execution	final-existing	5031ecadac1a30469dbda8b32981a8224ea0d9953ab91c34720d722ba16d881c	final-tree imports compiled; public boundary regression covered	fail-closed errors, secret redaction, graph-owner/query boundary reviewed	fixed	unittest 31/31; compileall; diff-check; live API/UI and final-tree verification
readonly_query/builder.py	readonly_query	read-only query policy and execution	final-existing	de67e4bd0cba1f5e6a0261b81fd3d137fdacf7f2773b6ed5cfff631ba1459ae6	final-tree imports compiled; public boundary regression covered	fail-closed errors, secret redaction, graph-owner/query boundary reviewed	fixed	unittest 31/31; compileall; diff-check; live API/UI and final-tree verification
readonly_query/policy.py	readonly_query	read-only query policy and execution	final-existing	fc6f112a397d18393c83fc6e7fbdffac9c8936c029c02b9b8d9bc45491c3086b	final-tree imports compiled; public boundary regression covered	fail-closed errors, secret redaction, graph-owner/query boundary reviewed	fixed	unittest 31/31; compileall; diff-check; live API/UI and final-tree verification
registry/__init__.py	registry	connection registry lifecycle	final-existing	abc1d8bf918d8602c062985715dbb03410b1b56131bf354fd964942df5140617	final-tree imports compiled; public boundary regression covered	fail-closed errors, secret redaction, graph-owner/query boundary reviewed	fixed	unittest 31/31; compileall; diff-check; live API/UI and final-tree verification
registry/connection.py	registry	connection registry lifecycle	final-existing	65d767b49b21b4309dea6069d67f65076a1855ec32ea49cc224e2875fe557e47	final-tree imports compiled; public boundary regression covered	fail-closed errors, secret redaction, graph-owner/query boundary reviewed	fixed	unittest 31/31; compileall; diff-check; live API/UI and final-tree verification
registry/datasources.py	registry	connection registry lifecycle	final-existing	7a9f814a89b1111b363ab6c1610796539b2cd44bf6c97d49a8ac418259899df9	final-tree imports compiled; public boundary regression covered	fail-closed errors, secret redaction, graph-owner/query boundary reviewed	fixed	unittest 31/31; compileall; diff-check; live API/UI and final-tree verification
registry/driver.py	registry	connection registry lifecycle	final-existing	b4c10505dbcae08049382609962fdb6dca6b67136fc7f8f1a3e7fd15874ea1fb	final-tree imports compiled; public boundary regression covered	fail-closed errors, secret redaction, graph-owner/query boundary reviewed	fixed	unittest 31/31; compileall; diff-check; live API/UI and final-tree verification
registry/scope.py	registry	connection registry lifecycle	final-existing	1e2f5ec18d0f73387bfcac3799417b4e849dfccacdb1bb913fcfdfff511af643	final-tree imports compiled; public boundary regression covered	fail-closed errors, secret redaction, graph-owner/query boundary reviewed	fixed	unittest 31/31; compileall; diff-check; live API/UI and final-tree verification
settings.py	settings.py	typed environment configuration	final-existing	33ad50a4a03d57af522ed93636bf00c2b4ef4ffe5c022d24ab30bec2d96ff4ee	final-tree imports compiled; public boundary regression covered	fail-closed errors, secret redaction, graph-owner/query boundary reviewed	fixed	unittest 31/31; compileall; diff-check; live API/UI and final-tree verification
Dockerfile	delivery	runtime composition/support	final-existing	c7fefe74539b7793245c205ccc8b814b3bfbd642dc5eb97f9a58d7881f795833	final-tree imports compiled; public boundary regression covered	fail-closed errors, secret redaction, graph-owner/query boundary reviewed	no-violation	unittest 31/31; compileall; diff-check; live API/UI and final-tree verification
requirements.txt	delivery	runtime composition/support	final-existing	e62e734ee7b3e12f3a63fb7b7d32ea9b05cf62dfd4ccd710b4195e6edfe279d8	final-tree imports compiled; public boundary regression covered	fail-closed errors, secret redaction, graph-owner/query boundary reviewed	no-violation	unittest 31/31; compileall; diff-check; live API/UI and final-tree verification
